accepted_idx	post_warmup_idx	logp	nu_0	nu_1	nu_2	nu_3	nu_4	nu_5	nu_6	nu_7	nu_8	nu_9	nu_10	nu_11	nu_12	nu_13	nu_14	nu_15	nu_16	nu_17	nu_18	nu_19	nu_20	nu_21	nu_22	nu_23	nu_24	nu_25	nu_26	nu_27	nu_28	nu_29	nu_30	nu_31	nu_32	nu_33	nu_34	nu_35	nu_36	nu_37	nu_38	nu_39	nu_40	nu_41	nu_42	nu_43	nu_44	nu_45	nu_46	nu_47	nu_48	nu_49
1372	5770	-418.7279245483	4.0235550854	-4.7359273661	-3.5488477325	0.2908089506	2.7495738229	-0.2470000743	1.9680252329	-1.3473553666	2.0264217919	-1.2701711755	0.7574586393	-0.3300770887	-0.4471829899	1.3019761330	-1.6709742157	0.2848883696	0.1616901045	1.6713887798	-1.1649616807	0.7480947778	-0.4248682456	-1.8611907326	-1.5030020305	0.3367067786	0.8338077064	-0.9181727439	-0.8880193880	0.9214647702	-0.2833078620	-1.9069065188	0.2249771838	0.4950614668	-1.6022298725	0.7665424547	-0.5367709318	-0.7101576281	-1.0577927841	0.5687991206	-0.3323059412	-0.8979879749	-0.0693307975	1.1355147376	-1.4265288980	0.6404647705	-0.1082105241	-1.6648063579	-0.1538386044	1.6117742284	-1.5810237061	1.4212437285
1373	5772	-418.2299638723	3.8944001213	-4.6061900076	-3.6018080576	0.2809488293	2.6605653228	-0.2206911025	1.7203340156	-1.3449804466	2.0846151224	-1.7246193343	0.4604143320	-0.1729277444	-0.2003525831	1.0450641460	-1.5115183112	0.3585252222	0.2347029857	1.8105526989	-1.2071577927	0.4206413987	-0.3408075792	-1.6821460860	-1.3228190913	0.1897916756	0.9787879515	-0.7366545063	-0.7744517138	0.6626237174	-0.5020738455	-1.7610122389	-0.1137473621	0.7977833132	-1.7091916257	0.7687279842	-0.9935442297	-0.4677642396	-1.3996633143	0.5978743454	-0.2320464962	-1.0629214380	0.0373143085	1.2996226577	-1.1783831720	0.5544575877	0.2112921908	-1.8258861829	-0.4324971724	1.5740034144	-1.6913144791	1.0051407825
1374	5774	-417.8331980293	3.9489675171	-4.5668100643	-3.7148041052	0.2926399900	2.7300633274	-0.1581475620	1.5755181222	-1.1693701359	2.2319327412	-1.5405435668	0.3214106094	-0.2093281691	-0.1117722305	1.0519599748	-1.9633263422	0.0933081285	0.0160417856	1.8461377664	-1.1688017943	0.0523212315	-0.6388756150	-1.8030162845	-0.9443658217	0.3457194809	1.2293760259	-0.8612423165	-0.3859635028	0.5758378511	-0.3938800507	-1.9281857562	-0.0339619232	0.8102752751	-1.4793008082	0.8906320588	-0.9378062327	-0.4775035958	-1.4679707825	0.3447946847	-0.3356328715	-1.1940611957	0.3225043692	1.1426582398	-1.3532616937	0.6845771053	0.2211667742	-1.8000182618	-0.3336871710	1.4001147087	-1.8129124092	0.8635469040
1375	5777	-417.1528010084	3.8542104375	-4.6273422883	-3.5668536448	0.2311453206	2.7466702868	0.1512991605	1.7211416937	-1.2322970744	2.4248177754	-1.4083690160	0.2102113063	-0.0149664170	-0.1143735531	0.9327580836	-2.0285806311	0.0341752156	-0.0426182006	1.9503325706	-1.3657252021	0.0565691696	-0.5233737965	-1.5405461381	-0.8042591377	0.2858558865	1.3054454088	-0.9477982949	-0.3350234014	0.7526678397	-0.0724553503	-1.5823442543	-0.0391554729	0.8373159279	-1.3026506111	1.0215673113	-1.0804184286	-0.8171195987	-1.4558856102	0.5029996222	-0.1369666507	-0.8968267861	0.1840027485	1.2486195306	-1.1918681800	0.7956871107	0.3099715588	-1.6357800909	-0.2603176943	1.0680682393	-1.5422213548	0.6629283727
1376	5778	-416.4496541868	3.7421520982	-4.9017562708	-3.8383313421	0.2321327475	2.5707669711	0.1867405724	1.7657900114	-1.3187369055	2.6105186442	-1.2439931748	0.0476941550	0.3115858713	0.1864860660	1.0071032486	-1.9830537545	0.0279303078	-0.2773167943	1.9129448551	-1.3096947785	0.4745133737	-0.2408250414	-1.6314220053	-0.4922791699	0.5101851955	1.1121304620	-0.7383406827	-0.0428088260	0.7617790073	-0.1712224625	-1.6327846911	0.0794073424	0.9450486502	-1.3187520439	0.7835991903	-0.6781452853	-1.0904680962	-1.0215741695	0.4828418746	-0.4117586735	-0.8838818891	-0.2768980779	1.2199521290	-1.2121053258	0.8877676610	0.3041711539	-1.3059877801	-0.1477987276	1.1178197077	-1.9307414627	1.0454804078
1377	5779	-416.0681485075	3.6846014199	-5.1403498019	-3.9567974114	0.4377013849	2.4706637044	0.3132087164	1.8416944945	-1.0231734346	2.7823677775	-1.2949592102	0.5286665228	0.3095796107	0.3825335401	1.4642346273	-1.8598905378	-0.0996576906	-0.3186166649	2.2127096909	-1.3184982760	0.6669703381	-0.1541813811	-1.8808266387	-0.4412191031	0.2062936316	0.9504401786	-0.8360373336	0.1072347009	0.7452800455	-0.0845345572	-1.6696452796	0.0378821220	1.1435403468	-1.5875427021	0.4593594719	-0.7062228807	-0.9811432268	-0.9568830203	0.7839542313	-0.4571602622	-0.9758589185	-0.0850934057	1.0093334933	-1.4253818737	1.0029659893	0.3732406675	-1.4113799330	0.0368274927	0.7564216700	-1.5415296870	0.8747478450
1378	5781	-415.5750326539	3.8969960135	-5.2251308165	-3.7977852078	0.4859497484	2.3193042441	-0.0012125340	1.9383345927	-1.1953021613	2.8724266732	-1.2442080823	0.5305864211	0.1888117659	0.4079926603	1.3016048915	-1.4667718925	0.0231757354	-0.3741315488	2.0872337533	-1.5243390701	0.3900783951	-0.3150273474	-1.5908731506	-0.4396521343	0.3078033396	1.0847725435	-0.9910337114	0.2513781284	0.7563008471	-0.0749686270	-1.4407499877	-0.1609469953	1.2393054586	-1.4707584901	0.4089024010	-0.4571513946	-0.8195387047	-1.4455456240	1.1443995572	-0.3318339163	-1.1010821560	0.2013881274	1.1637677874	-1.2941451543	1.0769185343	0.4182470650	-1.4903413548	-0.1246570092	0.7093829332	-1.6987271494	0.9236521311
1379	5784	-414.6455329230	3.9541588614	-5.6151820176	-3.8273170672	0.3341623268	2.5567720706	-0.3236958231	2.1478678506	-0.9791731668	2.7198514539	-1.1318202884	0.7074560061	0.3457926698	0.5665903826	1.3847897954	-1.1287290053	-0.0261842722	-0.2899808985	2.1498821581	-1.0793782541	0.3156812052	-0.1736866958	-1.4957857837	-0.6903955302	0.3643177257	1.2435166009	-0.8455565221	0.2766106876	0.6522452045	0.0994871731	-1.1831828215	-0.0977688188	1.0759941117	-1.2728832450	0.4778009713	-0.4521394004	-0.6200926068	-1.4148493225	0.9280578215	-0.5489656144	-1.1813012465	0.4566872160	1.1721075510	-1.4450408431	0.7832045526	0.3914918960	-1.4822432970	-0.1858017351	0.8805580691	-1.6934470597	0.7490937623
1380	5790	-415.6786090743	3.8026902045	-5.4951324132	-3.8617365033	0.2652688291	2.9123159335	-0.3380010990	2.1139386921	-1.3298897892	2.8780586350	-1.1046995280	0.5018359483	0.1572552177	1.0885100078	1.2469998412	-0.7963399353	0.2305818292	-0.4010538234	2.1974676797	-1.0285138277	0.5107022849	-0.5162392973	-1.4568851148	-0.7354932862	0.1552731571	0.8678695567	-0.6268043746	0.3397865121	0.5093593607	0.0646392353	-1.2326835860	-0.1704095534	1.1273530415	-1.3967807474	0.7071298206	-0.6671064209	-0.8615527191	-1.2636696660	1.0416190701	-0.3803445213	-1.4879163484	0.3254674058	1.1439956104	-1.4561546598	0.3462621100	0.3550594181	-1.4399581463	-0.0784228742	1.0376993298	-1.3802277514	0.7137167379
1381	5800	-416.6218976494	4.1392727198	-5.5003830549	-3.8624720082	0.1382490985	2.8877514105	-0.3510154869	2.2214753186	-1.3878465967	2.8313278807	-1.3488461506	0.6039242625	-0.0723843558	0.7940181479	1.0202576408	-1.0225302485	0.4001035140	-0.1750328294	2.4387481869	-0.8470678305	0.7902653063	-0.1968757791	-1.4878684114	-0.4691791501	-0.0478877668	0.2505074037	-0.2992709113	0.2536963802	0.4258886628	-0.0486882836	-1.0892712663	-0.0543556996	0.9577236333	-1.5170287265	0.4611738103	-0.5139035261	-0.7884165029	-1.5596795666	1.1179570134	-0.1925241111	-1.5720295716	0.6508526864	1.1026548230	-1.4270306595	0.4641617301	0.5576282381	-1.2928853175	-0.1802644901	0.7516858089	-0.9300182473	0.6116973170
