accepted_idx	post_warmup_idx	logp	nu_0	nu_1	nu_2	nu_3	nu_4	nu_5	nu_6	nu_7	nu_8	nu_9	nu_10	nu_11	nu_12	nu_13	nu_14	nu_15	nu_16	nu_17	nu_18	nu_19	nu_20	nu_21	nu_22	nu_23	nu_24	nu_25	nu_26	nu_27	nu_28	nu_29	nu_30	nu_31	nu_32	nu_33	nu_34	nu_35	nu_36	nu_37	nu_38	nu_39	nu_40	nu_41	nu_42	nu_43	nu_44	nu_45	nu_46	nu_47	nu_48	nu_49
923	4026	-417.2210180826	3.9302338508	-3.8791601183	-3.9966982473	0.7801074751	-0.4514257082	2.8123838522	1.0385794944	2.1061895399	0.1410839192	1.7236723440	-1.4732606703	-1.6795117238	0.5720764619	0.4634550141	1.3914099119	1.2023541059	0.5538932796	0.0962467253	0.9899192946	0.0829458548	0.1276801515	-0.3530145226	-0.9814916580	0.5416606833	-1.1136952936	-0.7773607613	-0.2780556236	1.3531032228	0.8456955554	0.8608475344	-0.1782675668	-0.2636875801	0.3604353956	1.7803323656	0.6325330235	-0.3060727470	0.0857895487	0.6452982908	1.5008055703	2.4308858944	-0.7301385677	0.5005130603	0.5006157346	0.5181626286	-1.0829108379	-0.8437868183	-0.4486390210	-0.9010297437	-1.3157156907	-2.1719462041
924	4047	-417.2057401382	3.7038960599	-3.5474061334	-3.9047863869	0.6205648315	-0.6270424398	2.8717411979	0.7761008486	1.8875306621	-0.0522672924	2.2151680269	-1.4920453267	-1.6148340899	0.5489407277	0.3657938440	1.4479716024	1.2938269010	0.5776174195	0.1871975599	0.7792778870	0.0295507987	-0.0120286900	-0.2472438612	-1.0902730972	0.8373611460	-1.1860684350	-0.7437000453	-0.1724881806	1.8304238671	0.9112376894	0.6289016483	0.2246386000	-0.1379760025	0.1950689265	1.9667881621	0.5129889828	-0.6660863395	0.4079660921	0.6102956572	1.3215969914	2.2166191414	-0.5821899795	0.5945794951	0.4421876767	0.4690393927	-0.8051361960	-0.7902374415	-0.6230842716	-0.7700402086	-1.2241143917	-1.8846746848
925	4049	-416.8066366743	3.9623467953	-3.6083300403	-3.9729730363	0.6075711372	-0.5945936523	2.9610499612	0.6797197993	2.0429466202	-0.3151188916	2.3243904530	-1.1327519692	-1.5763052323	0.4367666928	0.1030675628	1.4569141085	1.5780651119	0.3997001548	0.1281473052	0.8492507918	-0.0830669432	-0.1201108801	-0.1813693594	-0.9619774452	0.9841475873	-1.5403126504	-0.6529025923	-0.4503202065	1.7754314407	0.9979421681	0.7211272032	0.6237913636	0.1485996157	0.4863629994	1.7044559078	0.8400044027	-0.4678160556	0.6274421948	0.4482934828	1.6007900492	2.2266349888	-0.4863985360	0.5800908145	0.6112244385	0.2514609486	-0.8921031000	-0.6647563268	-0.4248916384	-0.5891745770	-0.9267546893	-1.6842585691
926	4054	-418.7622992444	4.1867784410	-3.7213470879	-3.9157883499	0.3739225744	-0.7557459339	2.9844124460	0.5732411178	2.1477220846	-0.2861766934	2.2288883643	-0.8724797671	-1.8100968795	0.4213192090	0.3766753531	1.2795346379	1.8154821201	0.3035580979	-0.2244195818	0.8226453541	-0.1317829485	0.1781959910	-0.3463185116	-0.7132133930	0.7506575644	-1.5998272436	-0.7486640725	-0.1567523106	1.8976998867	1.0624208152	0.8752468075	0.6113129284	-0.1831437707	0.5400110854	1.7276039485	0.9139106486	-0.7203913089	0.4801448198	0.3884424559	1.5471371382	1.9801486598	-0.5899698807	0.6040087661	0.4600657511	0.6792956919	-0.8868835138	-0.6171127893	-0.3270534024	-0.8160347485	-1.0329335018	-1.7228547563
927	4062	-421.3232344964	3.8483404217	-3.5852273326	-3.9550144920	0.5448461979	-0.6526755699	2.8506850587	0.4354984841	2.0569648818	-0.3233515692	1.9960056148	-0.5210237653	-1.6551197725	0.3992334440	0.4752663372	1.3021336857	2.0062400551	0.1926820973	-0.2353935012	0.7472665091	-0.5513393543	0.3407031601	-0.6733462625	-0.8871738729	0.7311221669	-1.6613273258	-1.2337131566	-0.2603333696	1.8457534428	1.3370014157	0.8062606757	0.4255101993	-0.1769634877	0.7503245455	1.8375941250	0.7299054710	-0.8576011236	0.6733674749	0.3394781871	1.6892356439	2.2938854134	-0.2654495091	0.7589034379	0.2180748074	0.7808005306	-0.6874086967	-0.6200956683	-0.1911204135	-0.2284157090	-1.1534231563	-1.6877851000
928	4065	-419.7508262158	4.0480889062	-3.8512863832	-3.9598183759	0.5707202678	-0.4154651376	2.8463033579	0.7664301127	2.0640351230	-0.3162527944	1.9433850165	-0.6752296547	-1.5711952481	0.6318254785	0.5535659823	1.2257227263	1.8177951004	0.3418832334	-0.5440506698	0.5836362003	-0.3576180802	0.5455936644	-0.7167176984	-1.0197242043	0.9889621020	-1.9327017015	-1.5805110051	-0.2591492285	1.7292944245	0.9710394700	0.6819029317	0.8187539170	-0.3046399966	0.7602398054	1.5197655155	0.9449684091	-0.8175554772	0.5165902848	0.3755157471	1.7159843597	2.4632917655	-0.7223056671	0.5423057526	0.2093859750	0.8998120290	-0.7171299877	-0.4987546864	-0.1782236378	-0.3113006657	-1.1024231694	-1.5837698168
929	4069	-418.9046031073	4.2382040328	-3.8699791138	-3.9803786599	0.5596056358	-0.7068326694	2.7854654278	0.8926308713	2.1582153858	0.0272872189	2.1163690392	-0.8336184005	-1.2270901660	0.6099097444	0.2855652598	1.1177392208	1.7157439694	0.4149078527	-0.4020360214	0.6993729806	-0.4951453437	0.7498058735	-0.8691115351	-0.9292224135	1.2205319931	-1.9613972051	-1.6077435547	-0.2267530717	1.7655147578	1.0084962302	0.6900751362	0.7751884485	-0.1338914569	0.9289175137	1.2405536202	1.0702492639	-0.9826712547	0.4510938742	0.1081665190	1.4968533127	2.4424163354	-0.6662644156	0.7202526998	0.0021853793	0.6809841514	-0.5855907523	-0.4068887215	-0.0507611950	-0.1202096296	-1.4645850316	-1.3736241763
930	4072	-418.8542836553	4.2931058717	-3.7697417828	-4.0888933591	0.3508774993	-1.1342503425	2.9641140949	0.8313784137	2.1767261231	-0.2684815056	2.1516406072	-1.0623514552	-0.6752948568	0.3612524531	0.0822019022	0.8880811475	1.5676323507	0.5797903305	-0.5092805186	0.7469962481	-0.8191174932	1.0197318351	-1.1150913673	-1.0456010431	1.0918775597	-1.9612134991	-1.4111245773	0.1475460185	1.7270681746	1.0919504564	0.5376272214	0.6241821349	-0.2177723870	0.5359921267	0.8572075246	0.8945673528	-1.0469495086	0.3963252348	-0.1386637206	1.7211108340	2.3238700537	-0.9230556035	0.9759051803	-0.1542363543	0.8504094429	-0.6525699893	-0.7916659960	-0.1874887100	-0.2242954699	-1.5519457456	-1.4842250665
931	4078	-418.6343043668	4.2032807032	-3.5807397413	-4.2995246628	0.7976045628	-1.2526038187	2.8561347222	0.9948782381	2.3075790732	-0.1673102099	2.1065286387	-0.9932875426	-0.5951263118	0.8001905314	0.3186068135	1.2956440048	1.1768738636	0.4607267035	-0.5093555510	0.5054791388	-1.0504990113	0.8391801650	-0.9264236802	-1.1723925626	1.3312397413	-1.8769075396	-1.3035224927	-0.0925294485	1.7536108432	0.5585551136	0.4198251585	0.5403895217	-0.3573436503	0.4905652354	0.7728269457	1.0279267183	-0.7396835268	0.1395866550	-0.1618647959	1.8211627463	2.1507058839	-0.9704802615	0.7760905700	0.0398581727	0.9949558449	-0.6241305571	-1.0213320538	0.0222443480	-0.0417100668	-1.3563070947	-1.3145882571
932	4080	-417.1046012430	3.8776681138	-3.6241342213	-4.3302946590	0.9147081013	-1.1332419518	2.8717865652	0.9346430896	2.1881498197	-0.0680964212	1.9423443856	-0.6646681858	-0.6025057532	0.7470771556	-0.0566427972	1.5899645810	1.3225877242	0.4562239812	-0.2927275781	0.3216964477	-1.0618104291	0.8986922142	-0.5535997037	-1.3567702299	1.4424007970	-2.0073837621	-1.3350044322	-0.0223832239	1.5828047797	0.2997444986	0.5093387297	0.6011185250	-0.1906919061	0.3002162188	0.7389342712	1.4024271706	-0.6933501946	0.0072080795	-0.5314803728	1.7130412112	1.8927141850	-0.8608619927	0.7324912702	0.1057051916	0.8799429756	-0.6017644087	-0.9998259627	0.0911769648	0.1089592742	-1.6375519859	-1.5881234137
