record_id,experiment,dataset,method_name,sampler,model_architecture,script_path,run_timestamp_utc,job_id,hostname,node_gpu,code_ref,notes,dataset_sources,embedding_source,embedding_variant,feature_dim,n_train,n_val,n_test,max_train_samples,max_valid_samples,max_test_samples,seed,standardize,kernel,kernel_bandwidth,lengthscale_initial,outputscale_initial,k,arpcholesky_b,actual_rank,relative_trace_error,kernel_entries_queried,factor_MB,trace_K,trace_FF_T,pivot_consistency_max,n_samples,n_warmup,n_walkers,n_leapfrog,n_conditional_draws,step_size,final_step_size,initial_step,target_accept,adapt,jitter,num_inducing,hidden_dim,num_layers,dropout,attn_dropout,learning_rate,weight_decay,batch_size,epochs_requested,epochs_ran,best_epoch,snapshot_epoch,trainable_parameters,image_size,patch_size,embed_dim,depth,num_heads,mlp_ratio,mask_ratio,best_val_auroc,train_loss_final,valid_loss_final,test_loss,test_acc,test_nll,log_likelihood_mean,negative_log_likelihood_mean,elpd,elpd_mean,pell,pell_mean,mean_predictive_log_likelihood,predictive_likelihood,posterior_expected_log_loss,posterior_log_loss_mean,posterior_total_log_loss,loss,negative_log_loss,auroc,auprc,accuracy,precision,recall,sensitivity,brier,ece,number_errors,tp,fp,tn,fn,sensitivity_tpr,specificity_tnr,true_positive_rate,true_negative_rate,false_positive_rate,false_negative_rate,positive_rate,target_positive_rate,accept_rate,tau_logp,tau_nu,tau_nu_mean,prob_min,prob_mean,prob_max,ess_logp,ess_per_sec,latent_mean_min,latent_mean_mean,latent_mean_max,latent_var_min,latent_var_mean,latent_var_max,rbf_train_offdiag_mean,rbf_train_offdiag_median,rbf_test_train_mean,rbf_test_train_median,kernel_signal_std,data_loading_time_sec,embedding_time_sec,kernel_time_sec,cholesky_time_sec,factor_time_sec,warmup_time_sec,sampling_time_sec,total_mcmc_time_sec,predictive_sampling_time_sec,fit_or_train_time_sec,train_time_sec,inference_time_sec,prediction_time_sec,evaluation_time_sec,total_pipeline_time_sec,total_runtime_sec,timing_scope
sd6701-2026-04-xx-exp1-svgp-pcam-strat3000,exp1,pcam,SVGP,not applicable,gpytorch_svgp,exp1_gpytorch_svgp.py,not computed,not computed,not computed,not computed,not computed,Stratified subsampling: 3000 train / 500 val / full 32768 test. pell field reported as per-sample mean (matches mean_predictive_log_likelihood).,['pcam'],pcam-hg,not computed,512,3000,500,32768,3000,500,full,not computed,not computed,rbf,not computed,not computed,not computed,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not computed,not computed,not applicable,not applicable,not applicable,not applicable,not computed,not computed,not computed,not computed,not computed,not computed,not applicable,not computed,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not computed,not computed,not computed,not applicable,not applicable,not applicable,-0.286807752197024,0.286807752197024,-9398.116423992082,-0.286807752197024,-0.286807752197024,-0.286807752197024,-0.286807752197024,0.7506,0.286807752197024,0.286807752197024,9398.116423992082,not computed,0.286807752197024,0.970888806780992,0.9723953106562783,0.881683349609375,not computed,not computed,not computed,0.08655423914619934,0.10129455698097505,3877,12813,313,16078,3564,0.7823777248580326,0.9809041547190531,0.7823777248580326,0.9809041547190531,0.01909584528094686,0.2176222751419674,not computed,0.5,not applicable,not applicable,not applicable,not applicable,not computed,not computed,not computed,not applicable,not applicable,not computed,not computed,not computed,not computed,not computed,not computed,not computed,not computed,not computed,not computed,not computed,not computed,not computed,not computed,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not computed,not computed,not computed,not computed,not computed,not computed,not computed,not_recorded
sd6701-2026-04-27-exp2-hmc-pcam-k200-lf25,exp2,pcam,RPChol+HMC,HMC,not applicable,exp2.py,2026-04-27T23:57:16Z,175296,b-19-100,not computed,not computed,"Pivot |F_P F_P^T - K_PP| max=3.73e-08, rel=3.73e-08; target_accept=0.8, adapt=True; SLURM_JOB_ID=175296 on b-19-100.",['pcam'],pcam-hg,exp2_rpchol_full,512,262144,not computed,32768,full,not applicable,full,not computed,0,rbf,49.560036,not applicable,not applicable,200,10,200,not computed,not computed,not computed,not computed,not computed,3.73e-08,1000,1000,not applicable,25,not computed,0.013296,0.016737,0.013296,0.8,True,not computed,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,-0.214599,0.214599,-7031.990734,-0.214599,-7199.169272,-0.219701,-0.214599,not computed,0.219701,not computed,not computed,not computed,0.214599,0.977816,0.979521,0.914032,not computed,not computed,not computed,0.063805,0.054534,2817,13908,348,16043,2469,0.84924,0.978769,0.84924,0.978769,0.021231,0.15076,not computed,0.5,0.787,4.59,not computed,12.82,not computed,not computed,not computed,not computed,not computed,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not computed,not computed,not computed,not computed,not computed,not computed,not computed,not computed,not computed,not computed,634.74,635.21,1269.95,1.98,not applicable,not applicable,1.98,1.98,not computed,1286.05,1286.05,"warmup, sampling, predictive_sampling (post-warmup MCMC time = sampling_time_sec)"
sd6701-2026-04-28-exp3-residual_mlp-pcam,exp3,pcam,MLP,not applicable,residual_mlp,exp3_nn_baseline.py,2026-04-28T00:19:57Z,175320,b-19-20,NVIDIA A100-SXM4-40GB,not computed,pell reported as NaN (no posterior samples).,['pcam'],pcam-hg,projected_512,512,262144,32768,32768,full,full,full,42,not computed,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,512,3,0.3,not applicable,0.001,0.0001,512,50,50,not computed,not applicable,1844225,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,0.963837,0.0002,not computed,not applicable,not applicable,not applicable,-0.711477899274817,0.711477899274817,-23313.707803437203,-0.711477899274817,nan,nan,-0.711477899274817,0.49091813351491415,not computed,not computed,not computed,not computed,0.711477899274817,0.9651166304600047,0.9708092654011833,0.87738037109375,not computed,not computed,not computed,0.1107913016491689,0.11591236546471356,4018,12538,179,16212,3839,0.7655858826402883,0.9890793728265511,0.7655858826402883,0.9890793728265511,0.010920627173448844,0.2344141173597118,not computed,not computed,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,3.588,not computed,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,219.788,219.788,0.287,0.287,0.683,234.893,234.893,"data_loading, training, test_inference, evaluation_plots"
sd6701-2026-04-27-exp3-unet-pcam,exp3,pcam,UNet,not applicable,unet_classifier,exp3_unet_classifier.py,2026-04-28T04:00:00Z,175421,b-19-75,not computed,not computed,best_epoch=3; total_wallclock_sec from json mapped to total_pipeline_time_sec.,['pcam'],pcam-hg (raw images),not applicable,not applicable,262144,32768,32768,full,full,full,not computed,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not computed,not applicable,not computed,not computed,64,20,20,3,not applicable,not computed,not computed,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,0.9597479549917947,0.0912,0.3839,0.3997,0.8589,0.40130175681026287,-0.40130175681026287,0.40130175681026287,-13149.855967158694,-0.40130175681026287,not applicable,not applicable,-0.40130175681026287,0.6694480200566776,0.40130175681026287,0.401302,13149.855967,0.3997,0.40130175681026287,0.9247198898765243,0.9346773769606408,0.858917236328125,0.8665336160658601,0.8483849300848751,0.8483849300848751,0.10991082304831395,0.05856757831063225,4623,13894,2140,14251,2483,0.8483849300848751,0.8694405466414495,0.8483849300848751,0.8694405466414495,0.13055945335855043,0.15161506991512488,not computed,not computed,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not computed,not computed,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not computed,not computed,not computed,not computed,not computed,3359.52,3359.52,total_wallclock (training + eval combined)
sd6701-2026-04-28-exp5-vit_small-pcam-ep20,exp5,pcam,ViT,not applicable,vit_small,exp5_vit.py,2026-04-28T08:00:00Z,176221,not computed,not computed,not computed,snapshot_epoch=20 (training stopped early relative to epochs_requested=30). mask_ratio=0.0; attn_dropout=0.0. Run id pcam_4b0c0f57.,['pcam'],pcam (raw images),not applicable,not applicable,262144,32768,32768,full,full,full,not computed,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,0.0,0.0,0.0003,0.05,32,30,20,not computed,20,21604609,96,16,384,12,6,4.0,0.0,0.898806,0.087,0.5132,0.8138453014144034,0.751495361328125,0.8138452990017526,-0.8138452990017526,0.8138452990017526,-26668.08275768943,-0.8138452990017526,nan,nan,-0.8138452990017526,0.443150738641253,not computed,not computed,not computed,0.8138453014144034,0.8138452990017526,0.8750994219626177,0.8778400069344802,0.751495361328125,0.8907555049354594,0.5730597789582952,0.5730597789582952,0.20558833966492618,0.19116049098006815,8143,9385,1151,15240,6992,0.5730597789582952,0.9297785370020133,0.5730597789582952,0.9297785370020133,0.0702214629979867,0.4269402210417048,0.321533203125,0.499786376953125,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,505.001,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,5886.689,5886.689,16.089,16.089,0.63,not computed,not computed,"data_loading, training, test_inference, evaluation_plots"
